Titulo,Artista,Album,Género,Año,Ruta
Rockin' with me,SVRGE  whallex,Rockin' with me,2024-08-30,Pop,E:\Música\Telegram\SVRGE - Rockin  with me.flac
Tsuki,SVRGE,Tsuki,2022-11-20,Electro,E:\Música\Telegram\SVRGE - Tsuki.flac
Akiba,Synthion,Akiba,2016-12-01,Electro,E:\Música\Telegram\Synthion - Akiba.flac
Aurora,Synthion,Fairy Tale,2020-07-10,Электронная музыка,E:\Música\Telegram\Synthion - Aurora.flac
Azure Step,Synthion,cyanotype,2024-01-15,Electro,E:\Música\Telegram\Synthion - Azure Step.flac
Blossom,Synthion,Fairy Tale,2020-07-10,Электронная музыка,E:\Música\Telegram\Synthion - Blossom.flac
Cerulean 【F/C HiTECH ALLiON】,Synthion,HiTECH ALLiON,2024,,E:\Música\Telegram\Synthion - Cerulean  F_C HiTECH ALLiON.mp3
Comet 【F/C Bright Green】,Synthion,Bright Green,,,E:\Música\Telegram\Synthion - Comet  F_C Bright Green.mp3
cyanotype,Synthion,cyanotype,2024-01-15,Electro,E:\Música\Telegram\Synthion - cyanotype.flac
Dreamer (Remaster),Synthion,cyanotype,2024-01-15,Electro,E:\Música\Telegram\Synthion - Dreamer (Remaster).flac
In a land far  far away,Synthion,Fairy Tale,2020-07-10,Электронная музыка,E:\Música\Telegram\Synthion - In a land far  far away.flac
Konpeito,Synthion,Konpeito,2018-10-17,Electro,E:\Música\Telegram\Synthion - Konpeito.flac
Once upon a time...,Synthion,Fairy Tale,2020-07-10,Электронная музыка,E:\Música\Telegram\Synthion - Once upon a time....flac
Starlight,Synthion,Fairy Tale,2020-07-10,Электронная музыка,E:\Música\Telegram\Synthion - Starlight.flac
Swift,Synthion,Fairy Tale,2020-07-10,Электронная музыка,E:\Música\Telegram\Synthion - Swift.flac
VIVIDVELOCITY (Extended Mix),Synthion,cyanotype,2024-01-15,Electro,E:\Música\Telegram\Synthion - VIVIDVELOCITY (Extended Mix).flac
Waltz Capriccio,Synthion,Waltz Capriccio,2019-10-31,Electro,E:\Música\Telegram\Synthion - Waltz Capriccio.flac
Waltz Capriccio,Synthion,Waltz Capriccio,2019-10-31,Electro,E:\Música\Telegram\Synthion - Waltz Capriccio.mp3
True (feat. STΔRLIVHT♠♥),Synthion,True (feat. STΔRLIVHT♠♥),,Electro,E:\Música\Telegram\Synthion_True_feat_STΔRLIVHT_2ECONDS_TO_STΔRLIVHT_.mp3
Testing,The Chainsmokers,So Far So Good,,,E:\Música\Telegram\The Chainsmokers - Testing.mp3
5150,The Oral Cigarettes,UNOFFICIAL,,,E:\Música\Telegram\The Oral Cigarettes - 5150.mp3
Amy,The Oral Cigarettes,FIXION,,,E:\Música\Telegram\The Oral Cigarettes - Amy.mp3
BLACK MEMORY,The Oral Cigarettes,Kisses and Kills,2018-06-13,Rock,E:\Música\Telegram\The Oral Cigarettes - BLACK MEMORY.flac
CATCH ME feat.MAH (SiM),The Oral Cigarettes,Bullets Into The Pipe,,,E:\Música\Telegram\The Oral Cigarettes - CATCH ME feat.MAH (SiM).mp3
CATCH ME,The Oral Cigarettes,UNOFFICIAL,,,E:\Música\Telegram\The Oral Cigarettes - CATCH ME.mp3
Kyouran Hey Kids!!,The Oral Cigarettes,FIXION,,,E:\Música\Telegram\The Oral Cigarettes - Kyouran Hey Kids!!.mp3
Miss Tail,The Oral Cigarettes,5150,,,E:\Música\Telegram\The Oral Cigarettes - Miss Tail.mp3
Mouiikai?,THE ORAL CIGARETTES,Kisses and Kills,2018-06-13,Rock,E:\Música\Telegram\THE ORAL CIGARETTES - Mouiikai.flac
Odorikuruu Ningyo,The Oral Cigarettes,Amy,,,E:\Música\Telegram\The Oral Cigarettes - Odorikuruu Ningyo.mp3
ReI,The Oral Cigarettes,Before It's Too Late,,,E:\Música\Telegram\The Oral Cigarettes - ReI.mp3
Origami,The Rare Occasions,Origami,2021,Alternative,E:\Música\Telegram\The Rare Occasions - Origami.mp3
Katharsis,TK from Ling tosite sigure,Katharsis,2018,,E:\Música\Telegram\TK from Ling tosite sigure - Katharsis.mp3
Signal,TK from Ling tosite sigure,Signal,,,E:\Música\Telegram\TK from Ling tosite sigure - Signal.mp3
Stellarity,Trianglereality  Chiru-san,Stellarity,2024-09-16,Dance,E:\Música\Telegram\Trianglereality - Stellarity.flac
10/10,Universe,10/10,,,E:\Música\Telegram\Universe - 10_10.mp3
BACK,WurtS,BACK,2023,Alternative,E:\Música\Telegram\WurtS - BACK.mp3
Cool?,WurtS,BACK,2023,Alternative,E:\Música\Telegram\WurtS - Cool_.mp3
Utopia,WurtS,BACK,,,E:\Música\Telegram\WurtS - Utopia.mp3
Plagiarism,ヨルシ,Plagiarism,2020,Rock,E:\Música\Telegram\Yorushika - Plagiarism.mp3
ヒッチコック,ヨルシカ,負け犬にアンコールはいらない,0000,J-Rock,E:\Música\Telegram\Yorushika- Hitchcock (ヨルシカ - ヒッチコック ).mp3
Asu no Yozora Shoukaihan,Yuaru,アスノヨゾラ哨戒班,,,E:\Música\Telegram\Yuaru - Asu no Yozora Shoukaihan.mp3
Again,Yui,HOLIDAYS IN THE SUN,2010-07-14,Asian Music,E:\Música\Telegram\YUI - Again.flac
Dance In The Game,Zaq,Dance In The Game,,,E:\Música\Telegram\Zaq - Dance In The Game.mp3
Count,Zekk,FÜGENE,2017-04-30,,E:\Música\Telegram\Zekk - Count.flac
Haze Haseru Haterumade,ZUTOMAYO,Hisohiso Banashi,,,E:\Música\Telegram\ZUTOMAYO - Haze Haseru Haterumade.mp3
[Melodic Future Bass] Wyn Starks - Who I Am (Jaw5 Remix),Wyn Starks,[Melodic Future Bass] Wyn Starks - Who I Am (Jaw5 Remix),,,E:\Música\Telegram\[Melodic Future Bass] Wyn Starks - Who I Am (Jaw5 Remix).mp3
キレキャリオン (feat. 初音ミク),ポリスピカデリー,「#コンパス 戦闘摂理解析システム」  オリジナルサウンドトラック (Vol.1),,,E:\Música\Telegram\キレキャリオン_ポリスピカデリー_Feat_初音ミク_Kire_Carry_On_Police_Piccad.mp3
ネイロクラフト (feat. 初音ミク),ポリスピカデリー,ネイロクラフト (feat. 初音ミク),2022,,E:\Música\Telegram\ネイロクラフト_Neiro_Craft_Police_Piccadilly_Ft_Hatsune_Miku_Snow.mp3
懐かしい,バレンタインチョコレート,バレンタイン 本命 - 告白 片思い 恋の歌 定番曲 人気曲,2019-02-01,,E:\Música\Telegram\バレンタインチョコレート - 懐かしい.flac
不埒な喝采 (feat. 可不),ポリスピカデリー,KAF + YOU KAFU COMPILATION ALBUM,2021,,E:\Música\Telegram\不埒な喝采_ポリスピカデリー_Feat_KAFU_Police_Piccadilly.mp3
六月は雨上がりの街を書く,ヨルシカ,だから僕は音楽を辞めた,2019,,E:\Música\Telegram\六月は雨上がりの街を書く - ヨルシカ.mp3
藍二乗,ヨルシカ,だから僕は音楽を辞めた,2019,,E:\Música\Telegram\藍二乗 - ヨルシカ (2).mp3
詩書きとコーヒー,ヨルシカ,だから僕は音楽を辞めた,2019,,E:\Música\Telegram\詩書きとコーヒー - ヨルシカ (1).mp3
踊ろうぜ,ヨルシカ,だから僕は音楽を辞めた,2019,,E:\Música\Telegram\踊ろうぜ - ヨルシカ (1).mp3
The Creed Of Fire ,Garena Free Fire,The Creed Of Fire,,Other,E:\Música\The Creed Of Fire (FreeFire x Assassins Creed) - Garena FreeFire.mp3
Una Sonrisa Al Atardecer,Akash,Más Allá de la Realidad,2003,Rock,E:\Música\WhatsApp Audio\02 Una Sonrisa Al Atardecer - Akash.mp3
The Rare Occasions - Notion,Dol drums,,,,E:\Música\WhatsApp Audio\AUD-20211206-WA0029.mp3
Pana Miguel,Keyan JRN,Pana Miguel,2020,Music,E:\Música\WhatsApp Audio\AUD-20211214-WA0072.mp3
,,,,,E:\Música\WhatsApp Audio\AUD-20211220-WA0086.mp3
Hearts on Fire (CORSAK & Willim Remix),Illenium,Hearts on Fire (The Remixes),,,E:\Música\WhatsApp Audio\AUD-20211223-WA0034.mp3
The Scientist (Shapeless Remix),Joy Corporation,The Scientist (Shapeless Remix),2019,Elektro,E:\Música\WhatsApp Audio\AUD-20211223-WA0039.mp3
Crazy,Lost Frequencies,Crazy,2017,(3)Dance,E:\Música\WhatsApp Documents\01 Lost Frequencies - Crazy.mp3
Febreze (feat. 2 Chainz),Jack Ü,Skrillex and Diplo present Jack Ü,2015,Elektro,E:\Música\WhatsApp Documents\04 Jack Ü - Febreze (feat. 2 Chainz).mp3
Running To You,Slander  Spag Heddy  Elle Vee,Running To You,2018-11-15,Electro,E:\Música\WhatsApp Documents\1_-_Running_To_You.mp3
Never Letting Go,Aryue  FF (CN),Never Letting Go,2019-09-16,Progressive House,E:\Música\WhatsApp Documents\Aryue - Never Letting Go (Original Mix).mp3
 Cold ,Timmy Trumpet,Cold ,,,E:\Música\WhatsApp Documents\AUD-20211206-WA0129.mp3
Ticking,TiN,Ticking,2016,Music,E:\Música\WhatsApp Documents\AUD-20211211-WA0310.mp3
Children,MATTN  Klaas & Roland Clark,Children - Single,2019,Dance,E:\Música\WhatsApp Documents\AUD-20211211-WA0405.mp3
Chrome (KAAZE Extended Mix),BLK RSE,Chrome (KAAZE Mix) - Single,2021,Progressive House,E:\Música\WhatsApp Documents\BLK RSE - Chrome (KAAZE Extended Mix).mp3
Souls (feat. M.BRONX) (Thomas Gold Remix),Borgeous/M.BRONX,Souls (feat. M.BRONX) (The Remixes),2015-12-16,Электронная музыка/Танцевальная музыка,E:\Música\WhatsApp Documents\Borgeous - Souls (feat. M.BRONX) (Thomas Gold Remix).mp3
Bring It Back  ,Deorro,Bring It Back,,,E:\Música\WhatsApp Documents\Bring It Back   Deorro  MAKJ  Max Styler.mp3
The Anthem (Preview),C-Quens,The Anthem (Preview),2022,Big Room ,E:\Música\WhatsApp Documents\C-QUENS - The Anthem (Preview).mp3
Chrome (KAAZE Extended Mix),BLK RSE,Chrome (KAAZE Extended Mix),2021,Progressive House,E:\Música\WhatsApp Documents\Chrome.mp3
 Feels like tonight (Marco Rostam Bootleg Remix),Daughtry,Feels like tonight (Marco Rostam Bootleg Remix),2021,Progressive House,E:\Música\WhatsApp Documents\Daughtry - Feels like tonight (Marco Rostam Bootleg Remix).mp3
Shot me Down (feat. Skylar Grey) (Radio Edit),David Guetta,Shot Me Down (feat. Skylar Grey),2014,,E:\Música\WhatsApp Documents\David Guetta - Shot me Down.mp3
Dreams (Original Mix),Anamanaguchi & Flux Pavilion,Dreams - Single,2021-11-30,Progressive House,E:\Música\WhatsApp Documents\Dreams.mp3
Wake Me When It's Quiet,Hilda  Don Diablo,Wake Me When It's Quiet,2018-05-14,Dance,E:\Música\WhatsApp Documents\Hilda - Wake Me When It's Quiet.mp3
Good Things Fall Apart vs. Sad Songs,Illenium,ASCEND (Tour Edits),,,E:\Música\WhatsApp Documents\Illenium - Good Things Fall Apart vs. Sad Songs.mp3
Only One,Illenium Ft. Nina Sung,Ashes,2016,Future Bass,E:\Música\WhatsApp Documents\Illenium Ft Nina Sung - Only One.mp3
Miss Me,Isaac LM,Miss Me,,,E:\Música\WhatsApp Documents\Isaac LM - Miss Me.mp3
Like This - Extended Mix,Jayden Vega,Like This,,BigRoom,E:\Música\WhatsApp Documents\Jayden_Vega _Xanlz _Vintagewave_Like_This_Extended_Mix_1.mp3
Diamond Eyes (Preview),Kay-D,Diamond Eyes (Preview),2021,Progressive House,E:\Música\WhatsApp Documents\Kay-D - Diamond Eyes (Preview).mp3
In The Air,Lawr3nz,In The Air,2021,Progressive House,E:\Música\WhatsApp Documents\Lawr3nz - In The Air.mp3
Miss Me,Luis Cav3 & MagLix ,Miss Me,2021,Progressive House ,E:\Música\WhatsApp Documents\Luis Cav3 & Maglix - Miss Me.mp3
As I Am,Marin Hoxha & Cryjaxx & Kynez & jfarr,As I Am,2019-11-08,Electro,E:\Música\WhatsApp Documents\Marin Hoxha - As I Am.mp3
Martin Garrix & Justin Mylo - Burn Out (Official V,Martin Garrix,Martin Garrix,,,E:\Música\WhatsApp Documents\Martin Garrix _ Justin Mylo - Burn Out (Official V(MP3_160K).mp3
Miracle (Extended Mix),RetroVision,Miracle - Extended Mix,2021,Future House,E:\Música\WhatsApp Documents\Miracle.mp3
History,PatFromLastYear  Rachel Leycroft ,History,2021,,E:\Música\WhatsApp Documents\PatFromLastYear  Rachel Leycroft - History.mp3
Alive,R3HAB  Vini Vici  Pangea  Dego,Alive,2019-08-02,Dance,E:\Música\WhatsApp Documents\R3HAB - Alive.mp3
One More Dance (with Carmen Soliman) [Arabic Version],R3HAB; Carmen Soliman,One More Dance (with Carmen Soliman) [Arabic Version],2021-03-05,Electro / Techno/House / Dance,E:\Música\WhatsApp Documents\R3HAB - One More Dance (with Carmen Soliman) [Arabic Version].mp3
Lose Somebody (Extended Mix),Severman & Robbie Rosen,Lose Somebody (Extended Mix),2021,Progressive House,E:\Música\WhatsApp Documents\Severman & Robbie Rosen - Lose Somebody (Extended Mix).mp3
Hate Being Alone,Slander  Dylan Matthew,The Headbangers Ball,2018-11-29,Electro,E:\Música\WhatsApp Documents\Slander_-_Hate_Being_Alone.mp3
You Don't Even Know Me,Slander  Riot,You Don't Even Know Me,2018-09-20,Electro,E:\Música\WhatsApp Documents\Slander_-_You_Don't_Even_Know_Me.mp3
In My Head,Ssr,Gems Sampler (Emerald),2021-06-14,Dance,E:\Música\WhatsApp Documents\Ssr - In My Head.mp3
Don't You Worry Child (Extended Mix),Swedish House Mafia feat. John Martin,Don't You Worry Child EP,2012,Progressive House,E:\Música\WhatsApp Documents\Swedish_House_Mafia_feat_John_Martin.mp3
Body Dance,Techno Project/Geny Tur,Body Dance,2021,dance,E:\Música\WhatsApp Documents\Techno Project  Geny Tur - Body Dance.mp3
Anywhere,Wvwii & WildStarry,Anywhere,2021,Progressive House,E:\Música\WhatsApp Documents\wvwii & WildStarry - Anywhere.mp3
Youngblood,5 Seconds Of Summer,Youngblood,2018,(13)Pop,E:\Música\Ya comprimidas\01 5 Seconds Of Summer - Youngblood.mp3
Save a Little Love,Don Diablo,Save a Little Love - Single,2017,Dance,E:\Música\Ya comprimidas\01 Don Diablo - Save a Little Love.mp3
Hello (Laibert Remix),Adele,Adele 21 (Remixes),,Pop,E:\Música\Ya comprimidas\Adele - Hello (Laibert Remix).mp3
Running Out Of Roses,Alan Walker,Walker Racing League ,2021,,E:\Música\Ya comprimidas\Alan Walker x Jamie Miller - Running Out Of Roses.mp3
The River,Axel Johansson,The River ,2017,,E:\Música\Ya comprimidas\Alex Johansson X Sami Mohammed - The River.mp3.mp3
Attention-Charlie Puth-,Charlie Puth,Attention-Charlie Puth,,,E:\Música\Ya comprimidas\Attention - Charlie Puth.mp3
Better When You're Gone,David Guetta  Brooks  Loote,Better When You're Gone,2020,Dance,E:\Música\Ya comprimidas\Better When You re Gone - David Guetta   Brooks   Loote.mp3
Butterfly,BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,Música Asiática,E:\Música\Ya comprimidas\BTS - Butterfly.mp3
Hymn For The Weekend (Alan Walker Remix),Coldplay,Hymn For The Weekend (Alan Walker Remix),,Pop,E:\Música\Ya comprimidas\Coldplay - Hymn for the Weekend (Alan Walker Remix).mp3
My Universe,Coldplay X BTS,My Universe - Single,,,E:\Música\Ya comprimidas\Coldplay X BTS  My Universe (Official Lyric Video) [1].mp3
Make Me Move (feat. Karra),Culture Code,Make me Move (feat. Karra),,,E:\Música\Ya comprimidas\Culture Code - Make Me Move (feat. Karra).mp3
Dea x Crisis,妖精帝國,Hades: The Other World,,Symphonic Rock,E:\Música\Ya comprimidas\Dea X Crisis - Yousei Teikoku.mp3
Alan Walker X Deadmau5 X Marshmello Relax [Official Music Video],Dj Anon,Innuendo,,,E:\Música\Ya comprimidas\Dj Anon - Alan Walker X Deadmau5 X Marshmello Relax [Officia.mp3
Everything Black (feat. Mike Taylor),Unlike Pluto,Everything Black (feat. Mike Taylor),2017-03-10,Electro & Dance,E:\Música\Ya comprimidas\Everything Black (feat. Mike Taylor) CD 1 TRACK 1 (128).mp3
Habits (Stay High),Tove Lo,Queen of the clouds,,,E:\Música\Ya comprimidas\Habits (Stay High) - Tove Lo.mp3
Hasta la Raíz,Natalia Lafourcade,Hasta la raíz (Versión Especial),2015,Pop,E:\Música\Ya comprimidas\Hasta la Raíz - Natalia Lafourcade.mp3.mp3
Crashing (ft. Baharí),Illenium,Ascend,2019,(3),E:\Música\Ya comprimidas\ILLENIUM - Crashing (Lyric video).mp3
It's All On U (ft. Liam O'Donnell),Illenium,Ashes,2016,Pop,E:\Música\Ya comprimidas\ILLENIUM - It's All On U (ft. Liam O'Donnell).mp3
I Can't Deny It,King Solo & PEACE,I Can't Deny It,,,E:\Música\Ya comprimidas\King Solo   PEACE - I Can t Deny It.mp3
Close Your Eyes,KSHMR,Close Your Eyes,,Dance,E:\Música\Ya comprimidas\KSHMR x Tungevaag - Close Your Eyes.mp3.mp3
Riot (Lo Lo Loco) [feat. Alida],LVNDSCAPE,Riot (Lo Lo Loco) [feat. Alida],2018,Dance/Elektro,E:\Música\Ya comprimidas\LVNDSCAPE - Riot (Lo Lo Loco) [feat. Alida].mp3.mp3
Higher Ground,Martin Garrix,Higher Ground,,,E:\Música\Ya comprimidas\Martin Garrix - Higher Ground.mp3.mp3
Linked [NCS Release],Jim Yosef & Anna Yvette,Linked [NCS Release],,Dance & EDM,E:\Música\Ya comprimidas\NCS - Linked [NCS Release].mp3
INSPIRED,NEFFEX,INSPIRED,,,E:\Música\Ya comprimidas\NEFFEX - INSPIRED.mp3
Over the Horizon,Samsung,Brand Music,,Orchestral Pop,E:\Música\Ya comprimidas\Over the Horizon.mp3
Just Breathe (feat. Jon Becker),Rival,Just Breathe (feat. John Becker),,,E:\Música\Ya comprimidas\Rival   Cadmium - Just Breathe (feat. Jon Becker).mp3
Superhero In My Sleep,Rival ,Superhero In My Sleep,2021,Elektro,E:\Música\Ya comprimidas\Rival X Asketa   Natan Chaim - Superhero In My Sleep.mp3
Oh Child,Robin Schulz,Oh Child,2018-18-00,(13),E:\Música\Ya comprimidas\Robin Schulz   Piso 21 - Oh Child.mp3
Together ,RudeLies,Screen Time ,,,E:\Música\Ya comprimidas\RudeLies  Distrion  Alex Skrindo   Axol - Together [NCS10 Re.mp3
Boku no Sensou (TV Size),Shinsei Kamatte Chan,Boku no Sensou (TV Size),,,E:\Música\Ya comprimidas\Shinsei Kamatte Chan - Boku no Sensou (TV Size).mp3
Alone,Sounxstate & Moyan,Alone ,,Pop,E:\Música\Ya comprimidas\Sounxstate   Moyan - Alone.mp3
WITHOUT YOU (Miley Cyrus Remix),The Kid LAROI.,WITHOUT YOU,,,E:\Música\Ya comprimidas\The Kid LAROI. - WITHOUT YOU (Miley Cyrus Remix).mp3
No Rest,Vicetone,No rest,,Elektro,E:\Música\Ya comprimidas\Vicetone - No Rest.mp3
Waiting,Vicetone,Waiting,2019,Elektro,E:\Música\Ya comprimidas\Vicetone - Waiting.mp3
Ya te Olvidé,Armonía 10,Ya te olvidé,2014-14-00,(13),E:\Música\Ya comprimidas\YA TE OLVIDE - ARMONÍA 10.mp3
